מזהה,תיקייה,תקופה,כותרת,סוג חומר,מה רואים / ערך תיעודי,מקור,בעלים / בעל זכויות משוער,תאריך,סטטוס זכויות,הפעולה הבאה,קישור
ML-001,01_ילדות_ומשפחה,1984–2002,Michael’s Story — הקרן,עמוד + תמונות,"עמוד ביוגרפי רשמי; ילדות בפילדלפיה, משפחה, החלטה לעלות ותמונות של מייקל הצעיר.",Michael Levin Lone Soldier Foundation,הקרן / המשפחה,2026,לבקשת רישוי,לפנות לקרן לקבלת קובצי מקור ותמונות משפחתיות עם captions.,https://michaellevinlonesoldier.org/michaels-story
ML-002,01_ילדות_ומשפחה,ילדות–2006,Sgt. Michael Levin — Chabad,כתבה + תצלום משפחתי,כתבת זיכרון מוקדמת עם תצלום שמסומן במקור כ־Family photo וסיפור מן הילדות.,Chabad.org,משפחת לוין / Chabad,2006,פנייה למשפחה,לבקש את קובץ המקור והצלם/שנה המדויקים.,https://www.chabad.org/news/article_cdo/aid/413533/jewish/Sgt-Michael-Levin.htm
ML-003,01_ילדות_ומשפחה,1984–2002,Lone Soldier’s Legacy Persists,כתבה + תמונות,כתבת Jewish Exponent על ילדותו בפילדלפיה וההשפעה שנמשכה 15 שנה לאחר מותו.,Jewish Exponent,Jewish Exponent / צלמים נקובים בעמוד,2021,לבקשת רישוי,לבקש תמונות מקור ו־outtakes שלא פורסמו.,https://www.jewishexponent.com/lone-soldiers-legacy-persists-15-years-after-death/
ML-004,01_ילדות_ומשפחה,ילדות–2006,פרויקט תמונות לזכר מייקל,קבוצת Facebook,"קבוצה שנפתחה כדי לאסוף תמונות, סרטונים וחוויות; תיאור החיפוש מציין שיש תמונות רבות שלא נראו.",Facebook group,מנהלי הקבוצה / מעלי התוכן / המשפחה,2010 ואילך,פנייה למשפחה/מנהלים,"שער ראשון במעלה: לבקש גישה, export מסודר, שמות מצולמים והרשאות.",https://www.facebook.com/groups/51811314954/
ML-005,01_ילדות_ומשפחה,1984–2006,About Michael Levin — The Base,עמוד + 2 תמונות,עמוד הסיפור באתר The Michael Levin Base; שתי תמונות מרכזיות וקישור לערוץ הקרן.,The Michael Levin Base,The Michael Levin Base / משפחת לוין,נגיש 2026,לבקשת רישוי,"לבקש originals, captions ותאריכים.",https://themichaellevinbase.org/michaels-story
ML-006,02_עלייה_וישראל,2002–2004,Michael - Fallen Soldier of Israel,"וידאו, 06:24","סרט IDF באנגלית על העלייה, הדרך לגיוס, השירות והחזרה מארה״ב בעת המלחמה.",YouTube — Israel Defense Forces,דובר צה״ל,2014-05-04,לבקשת רישוי,לפנות לדובר צה״ל לקבלת master ו־archive list.,https://www.youtube.com/watch?v=y29i9rfwmQI
ML-007,02_עלייה_וישראל,2002–2006,סיפור חייו ומותו של מייקל לוין,"וידאו, 48:52","סרט עברי ארוך; פוטנציאל לחומרי ילדות, ישראל, שירות, חברים והלוויה.",YouTube — bluemarom,bluemarom / בעלי חומרי המקור,2013-04-18,לבקשת רישוי,לצפות ולבנות shot list; לאתר יוצר ובעלי ארכיון מאחורי הסרט.,https://www.youtube.com/watch?v=aOERe4ncqkM
ML-008,02_עלייה_וישראל,2002–2006,"Eternal Hero, Soldier of Israel","דוקומנטרי, 09:09",סרט תיעודי קצר על מייקל עם חומרי עבר ותמונות.,YouTube — Shimshon David Ben Or,היוצר ובעלי חומרי המקור,2011-07-31,לבקשת רישוי,לפנות ליוצר לקבלת master ורשימת מקורות.,https://www.youtube.com/watch?v=jbEBUBJ4AbY
ML-009,02_עלייה_וישראל,2002–2006,Michael Levin — Israel Video Productions,"וידאו, 06:30",סרט זיכרון שהופק עבור יחידת דובר צה״ל; כולל תמונות וחומרי שירות.,YouTube — Israel Video Productions,Israel Video Productions / דובר צה״ל,2015-04-20,לבקשת רישוי,לבקש קובץ מקור ו־cue sheet.,https://www.youtube.com/watch?v=dh62xDQ3zjI
ML-010,02_עלייה_וישראל,2004–2006,כתבת ynet — החברים של מייקל,כתבה + וידאו/תמונות,"חברים מספרים על מייקל, שירותו והבחירה לחזור לישראל בזמן המלחמה.",ynet,ynet / צלמים / מרואיינים,נגיש 2026,לבקשת רישוי,"לבקש חומרי גלם מלאים, שמות חברים ופרטי קשר.",https://www.ynet.co.il/activism/article/hj0u3uoyge
ML-011,02_עלייה_וישראל,2002–2006,About Michael — Friends of the Lone Soldier,עמוד מורשת,תמצית הסיפור והקמת המרכז לזכרו.,Friends of the Lone Soldier,הארגון,נגיש 2026,קישור מחקר,לבקש תמונות פעילות מוקדמות ומייסדים.,https://www.friendsofthelonesoldier.org/about-michael-levin
ML-012,03_שירות_צבאי_וחברים,2004–2006,Soldier Friend Remembering Michael Levin,"עדות חבר, 10:00","חבר חייל מספר על מייקל; מקור מרכזי לחברות, אופי ושירות.",YouTube — Andy Ratto,Andy Ratto / המצולם,2008-08-02,לבקשת רישוי,לאתר את Andy Ratto ולבקש raw/full interview ותמונות משותפות.,https://www.youtube.com/watch?v=8qGXEUGpOY4
ML-013,03_שירות_צבאי_וחברים,2004–2006,מייקל לוין — Facebook IDF,וידאו,גרסת Facebook של סרט דובר צה״ל; ייתכנו captions/תגובות ומזהי מקור נוספים.,Facebook — IDF,דובר צה״ל,נגיש 2026,לבקשת רישוי,להצליב מול ML-006 ולבקש master בלבד.,https://www.facebook.com/idfonline/videos/766815073341365/
ML-014,03_שירות_צבאי_וחברים,2004–2006,Yedioth — הוריו ושני חיילים שהושפעו ממנו,וידאו Facebook,מפגש הוריו עם שני חיילים שעלו והתגייסו בעקבותיו; גשר בין חייו להשפעה.,ידיעות אחרונות,ידיעות / המצולמים,2016,לבקשת רישוי,לבקש master ושמות שני החיילים.,https://www.facebook.com/yediotahronot/videos/1391453560882810/
ML-015,04_הלוויה_והשבעה,2006-08-03,Thousands gather for funeral,"וידאו AP, 02:01","צילומי AP מהלוויה בהר הרצל; קהל, חיילים, המשפחה והטקס.",AP Archive,Associated Press,2015 upload; footage 2006-08-03,רישוי מסחרי נדרש,"לפנות ל־AP Archive עם video ID ולבקש master, shot list ומחיר.",https://www.youtube.com/watch?v=6W7eHdOjSAU
ML-016,04_הלוויה_והשבעה,2006-08-03,Israeli soldiers mourn — AP still,צילום עיתונות,חיילים מתאבלים בלוויה בהר הרצל; תצלום David Guttenfelder/AP.,Alamy listing / AP,David Guttenfelder / AP,2006-08-03,רישוי מסחרי נדרש,לרכוש דרך AP Images/Alamy ולבדוק מגבלות דוקומנטריות.,https://www.alamy.com/israeli-soldiers-mourn-during-the-funeral-of-israeli-army-staff-sgt-michael-levin-22-originally-of-bucks-county-pennsylvania-at-the-mount-herzl-military-cemetery-in-jerusalem-thursday-aug-3-2006-levin-a-young-american-immigrant-who-cut-short-a-visit-to-his-family-in-america-earlier-this-week-to-return-to-his-israeli-army-unit-fighting-in-lebanon-died-in-the-lebanese-village-of-aita-al-shaab-when-an-anti-tank-missile-fired-by-hezbollah-guerrillas-struck-a-building-he-was-searching-tuesday-ap-photodavid-guttenfelder-image541385416.html
ML-017,04_הלוויה_והשבעה,2006-08-03,Honor guard volley — Getty,צילום עיתונות,מטס/ירי כבוד בסיום הלוויה; אבלים מכסים את אוזניהם.,Getty Images,Getty / הצלם המופיע בעמוד,2006-08-03,רישוי מסחרי נדרש,"לבקש מחיר, שימוש דוקומנטרי ו־hi-res.",https://www.gettyimages.com/detail/news-photo/mourners-cover-their-ears-as-an-honor-guard-fires-a-volley-news-photo/71578740
